周波数 (Hz)	レベル (dB)
16451.367188	-94.133049
16494.433594	-93.762260
16537.500000	-93.588966
16580.566406	-93.181152
16623.632813	-92.932869
16666.699219	-93.443459
16709.765625	-94.474670
16752.832031	-93.560898
16795.898438	-93.588844
16838.964844	-94.168045
16882.031250	-94.563011
16925.097656	-94.284019
16968.164063	-94.395561
17011.230469	-94.370071
17054.296875	-95.333588
17097.363281	-95.522766
17140.429688	-95.421944
17183.496094	-95.939232
17226.562500	-95.870995
17269.628906	-95.818161
17312.695313	-96.259377
17355.761719	-95.900063
17398.828125	-96.152138
17441.894531	-95.919556
17484.960938	-96.532379
17528.027344	-96.521645
17571.093750	-96.354256
17614.160156	-96.466629
17657.226563	-95.623764
17700.292969	-96.639648
17743.359375	-97.155518
17786.425781	-96.725311
17829.492188	-95.992104
17872.558594	-96.577522
17915.625000	-97.217331
17958.691406	-97.417717
18001.757813	-98.490059
18044.824219	-98.781548
18087.890625	-97.606224
18130.957031	-97.767044
18174.023438	-99.052177
18217.089844	-99.452354
18260.156250	-99.652702
18303.222656	-99.485062
18346.289063	-99.047951
18389.355469	-98.471573
18432.421875	-98.560898
18475.488281	-98.492416
18518.554688	-99.253075
18561.621094	-99.956055
18604.687500	-100.429688
18647.753906	-99.842941
18690.820313	-100.210732
18733.886719	-100.127052
18776.953125	-100.439888
18820.019531	-100.016754
18863.085938	-100.406166
18906.152344	-101.019974
18949.218750	-100.213631
18992.285156	-100.495255
19035.351563	-101.033401
19078.417969	-100.815109
19121.484375	-100.460922
19164.550781	-100.990829
19207.617188	-101.511322
19250.683594	-101.251129
19293.750000	-100.972923
19336.816406	-100.518326
19379.882813	-100.795547
19422.949219	-100.934906
19466.015625	-101.595848
19509.082031	-101.689873
19552.148438	-102.280304
19595.214844	-102.231499
19638.281250	-102.394333
19681.347656	-102.392235
19724.414063	-102.484787
19767.480469	-102.331657
19810.546875	-101.741600
19853.613281	-102.045601
19896.679688	-101.856316
19939.746094	-102.418915
19982.812500	-102.354828
20025.878906	-102.051712
20068.945313	-103.037003
20112.011719	-102.950302
20155.078125	-102.793747
20198.144531	-102.428062
20241.210938	-102.846367
20284.277344	-102.466499
20327.343750	-102.263260
20370.410156	-102.489929
20413.476563	-102.258011
20456.542969	-102.409836
20499.609375	-102.742386
20542.675781	-102.669807
20585.742188	-102.251823
20628.808594	-102.333641
20671.875000	-102.510201
20714.941406	-102.493401
20758.007813	-102.415581
20801.074219	-102.671585
20844.140625	-102.590187
20887.207031	-102.496582
20930.273438	-102.088249
20973.339844	-101.864693
21016.406250	-101.388802
21059.472656	-100.783562
21102.539063	-97.543785
21145.605469	-93.367935
21188.671875	-94.400826
21231.738281	-99.438690
21274.804688	-102.728951
21317.871094	-103.115715
21360.937500	-103.118668
21404.003906	-102.570435
21447.070313	-102.338837
21490.136719	-102.971741
21533.203125	-102.842743
21576.269531	-102.194298
21619.335938	-102.272743
21662.402344	-102.072136
21705.468750	-100.606537
21748.535156	-100.358841
21791.601563	-101.309242
21834.667969	-102.065521
21877.734375	-101.267235
21920.800781	-101.451035
21963.867188	-101.731178
22006.933594	-102.543396
