周波数 (Hz)	レベル (dB)
6330.761719	-90.715256
6373.828125	-90.508331
6416.894531	-90.943741
6459.960938	-91.061356
6503.027344	-90.718811
6546.093750	-90.411980
6589.160156	-89.772224
6632.226563	-88.902298
6675.292969	-88.555397
6718.359375	-88.370071
6761.425781	-88.080162
6804.492188	-87.792168
6847.558594	-87.648842
6890.625000	-87.447044
6933.691406	-87.364449
6976.757813	-87.314926
7019.824219	-87.469292
7062.890625	-87.285698
7105.957031	-87.392235
7149.023438	-87.296974
7192.089844	-86.838234
7235.156250	-86.630089
7278.222656	-87.117325
7321.289063	-88.644218
7364.355469	-89.254288
7407.421875	-89.180283
7450.488281	-88.737305
7493.554688	-88.060333
7536.621094	-87.771851
7579.687500	-88.099327
7622.753906	-88.989426
7665.820313	-90.253273
7708.886719	-91.216034
7751.953125	-91.480736
7795.019531	-91.819313
7838.085938	-91.619652
7881.152344	-91.721535
7924.218750	-91.827103
7967.285156	-91.801979
8010.351563	-91.729744
8053.417969	-91.715996
8096.484375	-91.564186
8139.550781	-91.555748
8182.617188	-91.994194
8225.683594	-91.999557
8268.750000	-92.075546
8311.816406	-91.897629
8354.882813	-91.892151
8397.949219	-91.907425
8441.015625	-91.903664
8484.082031	-91.943100
8527.148438	-91.605865
8570.214844	-91.472832
8613.281250	-91.360603
8656.347656	-90.807999
8699.414063	-90.556252
8742.480469	-90.473389
8785.546875	-90.888634
8828.613281	-91.317070
8871.679688	-91.755089
8914.746094	-91.982109
8957.812500	-92.161621
9000.878906	-92.117805
9043.945313	-91.813797
9087.011719	-91.912834
9130.078125	-92.167610
9173.144531	-92.256020
9216.210938	-91.902351
9259.277344	-92.124786
9302.343750	-92.289024
9345.410156	-92.185196
9388.476563	-92.450249
9431.542969	-92.330887
9474.609375	-92.094894
9517.675781	-92.023796
9560.742188	-92.127960
9603.808594	-92.238960
9646.875000	-92.140984
9689.941406	-92.217224
9733.007813	-91.999161
9776.074219	-92.141235
9819.140625	-92.303375
9862.207031	-92.031372
9905.273438	-92.015892
9948.339844	-92.130394
9991.406250	-92.147667
10034.472656	-92.227867
10077.539063	-91.996422
10120.605469	-92.076782
10163.671875	-92.421402
10206.738281	-92.217743
10249.804688	-92.143272
10292.871094	-92.188782
10335.937500	-92.072418
10379.003906	-91.969635
10422.070313	-92.078163
10465.136719	-92.353775
10508.203125	-92.408501
10551.269531	-92.332031
10594.335938	-92.294609
10637.402344	-92.332779
10680.468750	-92.296753
10723.535156	-92.293282
10766.601563	-92.179794
10809.667969	-92.005547
10852.734375	-92.402550
10895.800781	-92.562836
10938.867188	-92.404617
10981.933594	-92.166969
11025.000000	-92.193253
11068.066406	-92.366463
11111.132813	-92.466629
11154.199219	-92.516327
11197.265625	-92.291122
11240.332031	-92.284996
11283.398438	-92.334305
11326.464844	-92.488800
11369.531250	-92.450424
11412.597656	-92.162270
11455.664063	-92.265472
11498.730469	-92.255409
11541.796875	-92.260132
11584.863281	-92.312523
11627.929688	-92.391487
11670.996094	-92.519875
11714.062500	-92.585274
11757.128906	-92.492836
11800.195313	-92.419434
11843.261719	-92.343376
11886.328125	-92.349213
11929.394531	-92.223007
11972.460938	-92.115784
12015.527344	-92.035660
12058.593750	-92.069633
12101.660156	-92.020790
12144.726563	-92.145164
12187.792969	-92.076363
12230.859375	-92.111382
12273.925781	-92.062920
12316.992188	-92.272903
12360.058594	-92.282860
12403.125000	-92.192467
12446.191406	-92.324928
12489.257813	-92.388733
12532.324219	-92.480392
12575.390625	-92.088264
12618.457031	-92.207825
12661.523438	-92.439072
12704.589844	-92.225159
12747.656250	-92.235748
12790.722656	-92.424873
12833.789063	-92.413246
12876.855469	-92.189369
12919.921875	-92.142265
12962.988281	-92.134377
13006.054688	-91.860558
13049.121094	-92.041985
13092.187500	-91.821182
13135.253906	-91.907051
13178.320313	-91.866020
13221.386719	-91.959091
13264.453125	-92.101875
13307.519531	-92.345055
13350.585938	-92.394905
13393.652344	-92.335709
13436.718750	-92.581589
13479.785156	-92.277496
13522.851563	-92.304352
13565.917969	-92.385086
13608.984375	-92.349396
13652.050781	-92.367401
13695.117188	-92.324699
13738.183594	-92.345390
13781.250000	-92.261169
13824.316406	-92.408272
13867.382813	-92.563141
13910.449219	-92.709587
13953.515625	-92.482857
13996.582031	-92.158394
14039.648438	-92.497665
14082.714844	-92.514984
14125.781250	-92.306038
14168.847656	-92.346535
14211.914063	-92.392105
14254.980469	-92.424385
14298.046875	-92.444916
14341.113281	-92.584572
14384.179688	-92.433983
14427.246094	-92.506706
14470.312500	-92.518044
14513.378906	-92.426933
14556.445313	-92.550545
14599.511719	-92.310471
14642.578125	-92.298065
14685.644531	-92.377769
14728.710938	-92.571587
14771.777344	-92.405785
14814.843750	-92.398369
14857.910156	-92.320076
14900.976563	-92.506271
14944.042969	-92.622253
14987.109375	-92.350258
15030.175781	-92.280128
15073.242188	-92.367592
15116.308594	-92.412003
15159.375000	-92.659416
15202.441406	-92.420952
15245.507813	-92.434601
15288.574219	-92.471161
15331.640625	-92.425537
15374.707031	-92.424782
15417.773438	-92.334984
15460.839844	-92.526443
15503.906250	-92.557495
15546.972656	-92.734955
15590.039063	-92.560799
15633.105469	-92.695229
15676.171875	-92.580772
15719.238281	-92.598320
15762.304688	-92.432137
15805.371094	-92.231674
15848.437500	-92.710258
15891.503906	-92.507729
15934.570313	-92.481392
15977.636719	-91.427826
16020.703125	-91.430321
16063.769531	-91.225677
16106.835938	-90.814697
16149.902344	-92.421707
16192.968750	-92.333206
16236.035156	-92.582878
16279.101563	-92.581879
16322.167969	-92.530853
16365.234375	-92.364639
16408.300781	-92.293694
16451.367188	-92.565849
16494.433594	-92.368141
16537.500000	-92.502388
16580.566406	-92.462296
16623.632813	-92.495255
16666.699219	-92.429909
16709.765625	-92.536758
16752.832031	-92.488327
16795.898438	-92.523254
16838.964844	-92.445091
16882.031250	-92.460663
16925.097656	-92.691788
